ラップ数,タイム,累積時間,距離,平均ペース,勾配調整後のペース（GAP）平均,平均心拍数,最大心拍数,総上昇量,総下降量,平均パワー,平均W/kg,最大パワー,最大W/kg,平均ピッチ,平均接地時間,平均GCTバランス,平均歩幅,平均上下動,平均上下動比,カロリー,平均気温,最高ペース,最高ピッチ,移動時間,平均移動ペース,身長,体重,VO2Max
3,04:41.2,14:10,1,4:41,,175,182,,,,,,,171,213,左 45.1%／右 54.9%,1.25,9.5,7.4,63,,4:12,174,4:41,4:41,177,60,62
4,05:20.7,19:31,1,5:21,,168,180,,,,,,,169,216,左 45.9%／右 54.1%,1.11,9.5,8.8,69,,4:02,173,05:20.7,5:21,177,60,62
5,04:47.8,24:19:00,1,4:48,,172,180,,,,,,,170,219,左 46.8%／右 53.2%,1.23,9.6,7.6,63,,4:00,173,04:47.8,4:48,177,60,62
6,04:48.2,29:07:00,1,4:48,,174,183,,,,,,,168,221,左 47.3%／右 52.7%,1.24,9.6,7.5,64,,4:06,170,4:48,4:48,177,60,62
7,00:21.6,29:29:00,0.08,4:42,,177,179,,,,,,,168,218,左 46.1%／右 53.9%,1.26,10,7.6,4,,4:06,168,00:21.6,4:42,177,60,62
1,04:28.1,04:28.1,1,4:28,,150,160,--,--,,,,,173,222,左 48.2%／右 51.8%,1.32,8.8,8.2,52,,3:45,178,4:27,4:27,177,60,62
2,04:09.8,08:38.0,1,4:10,,161,169,--,--,,,,,175,202,左 49.9%／右 50.1%,1.37,8.8,6.3,52,,3:33,178,04:09.8,4:10,177,60,62
3,04:20.4,12:58,1,4:20,,160,169,5,--,,,,,173,211,左 50.5%／右 49.5%,1.33,8.9,6.4,54,,4:00,175,04:20.4,4:20,177,60,62
4,00:03.1,13:02,0.01,3:33,,161,161,--,6,,,,,174,231,左 51.0%／右 49.0%,1.43,9.8,6.2,0,,4:02,174,0:02,2:15,177,60,62
1,04:53.4,04:53.4,1,4:53,,144,167,8,12,,,,,168,219,左 49.3%／右 50.7%,1.19,9.5,7.9,53,,4:30,172,4:50,4:50,177,60,62
2,00:04.9,04:58.3,0.02,5:07,,166,166,--,--,,,,,168,208,左 49.5%／右 50.5%,1.38,9.8,7.1,1,,4:34,169,00:04.9,5:07,177,60,62
1,03:58.2,03:58.2,1,3:58,,149,164,8,--,,,,,171,217,左 49.2%／右 50.8%,1.46,9.4,6.6,45,,3:37,175,3:56,3:56,177,60,62
2,03:51.6,07:49.8,1,3:52,,167,176,--,10,,,,,172,210,左 50.0%／右 50.0%,1.53,9.4,5.8,50,,3:39,174,03:51.6,3:52,177,60,62
3,04:03.2,11:53,1,4:03,,181,187,8,--,,,,,171,209,左 49.8%／右 50.2%,1.41,9.4,6.4,57,,3:49,173,4:03,4:03,177,60,62
4,00:03.9,11:57,0.02,3:55,,178,179,--,--,,,,,171,210,左 49.9%／右 50.1%,1.53,10.1,5.9,0,,3:49,171,00:03.9,3:55,177,60,62
1,03:12.1,03:12.1,0.97,3:18,,161,181,3,,,,,,177,216,左 40.0%／右 60.0%,1.77,8.2,4.3,40,,2:46,209,3:06,3:12,177,60,62
1,03:09.6,03:09.6,1,3:10,,161,186,14,14,,,,,178,221,左 40.4%／右 59.6%,1.78,8.2,4.4,38,,2:46,193,3:09,3:09,177,60,62
2,00:02.4,03:12.0,0.01,2:49,,175,175,--,--,,,,,172,239,左 42.5%／右 57.5%,1.65,8.9,5.1,0,,3:32,172,0:02,2:22,177,60,62
1,03:16.6,03:16.6,1,3:17,,159,177,14,14,,,,,176,224,左 38.1%／右 61.9%,1.72,8.2,4.6,39,,2:44,184,3:13,3:13,177,60,62
2,00:01.1,03:17.7,0.01,2:50,,175,175,--,--,,,,,175,230,左 39.7%／右 60.3%,1.63,9.4,5,0,,3:34,175,0:01,2:37,177,60,62
1,04:44.3,04:44.3,1,4:44,,147,163,7,13,,,,,170,216,左 45.8%／右 54.2%,1.23,9.7,7.7,53,,4:20,175,4:44,4:44,177,60,62
2,00:09.8,04:54.2,0.04,4:09,,160,161,--,--,,,,,169,224,左 43.7%／右 56.3%,1.38,10.1,7,2,,4:25,169,00:09.8,4:09,177,60,62
1,04:03.2,04:03.2,1,4:03,,152,169,9,3,,,,,172,221,左 41.2%／右 58.8%,1.41,9.5,6.4,47,,3:44,176,3:57,3:57,177,60,62
2,03:56.5,07:59.7,1,3:56,,170,182,3,11,,,,,170,221,左 41.5%／右 58.5%,1.47,9.4,6.2,53,,3:49,174,03:56.5,3:56,177,60,62
3,03:59.3,11:59,1,3:59,,180,191,8,--,,,,,172,218,左 42.8%／右 57.2%,1.42,9.2,6.2,56,,3:56,175,3:59,3:59,177,60,62
4,00:05.4,12:04,0.03,3:30,,187,188,--,8,,,,,172,232,左 42.0%／右 58.0%,1.46,9.5,6.2,1,,4:01,172,0:05,3:15,177,60,62
