lap,time,accumulated_time,ave_heart_rate,max_heart_rate,ave_pitch,ave_grond,right_GCT,left_GCT,ave_stride,ave_vertical_motion,ave_Vertical_movement_ratio,calorie,high_pace,high_pitch,ave_move_pace,height,weight,VO2Max
3.0,328.5,970.0,148.0,163.0,161.0,213.0,52.1,47.9,1.11,10.9,9.6,67.0,306.0,171.0,328.0,181.0,63.0,63.0
1.0,236.9,236.0,142.0,154.0,163.0,198.0,48.7,51.3,1.56,11.3,7.0,47.0,220.0,169.0,230.0,181.0,63.0,63.0
2.0,237.7,474.0,157.0,163.0,164.0,199.0,50.1,49.9,1.6,10.8,6.4,55.0,225.0,168.0,229.0,181.0,63.0,63.0
3.0,240.1,715.0,176.0,186.0,166.0,195.0,51.5,48.5,1.58,10.5,6.3,62.0,225.0,170.0,230.0,181.0,63.0,63.0
1.0,330.5,330.0,142.0,158.0,161.0,199.0,50.2,49.8,1.1,10.8,9.7,67.0,284.0,170.0,330.0,181.0,63.0,63.0
2.0,306.2,637.0,163.0,167.0,164.0,192.0,51.7,48.3,1.21,10.4,8.3,73.0,286.0,167.0,306.0,181.0,63.0,63.0
3.0,317.7,954.0,167.0,180.0,164.0,198.0,51.6,48.4,1.18,10.3,8.4,77.0,282.0,171.0,318.0,181.0,63.0,63.0
1.0,330.5,330.0,142.0,158.0,161.0,199.0,50.2,49.8,1.1,10.8,9.7,67.0,284.0,170.0,330.0,181.0,63.0,63.0
2.0,306.2,637.0,163.0,167.0,164.0,192.0,51.7,48.3,1.21,10.4,8.3,73.0,286.0,167.0,306.0,181.0,63.0,63.0
3.0,317.7,954.0,167.0,180.0,164.0,198.0,51.6,48.4,1.18,10.3,8.4,77.0,282.0,171.0,318.0,181.0,63.0,63.0
1.0,377.1,377.0,132.0,149.0,156.0,230.0,52.1,47.9,1.0,11.1,11.2,66.0,337.0,164.0,369.0,181.0,63.0,63.0
